# This CSV files explains which rule sets to put into which trial list files

01-A,cm_RBKY
01-A,sm_csqt
01-A,cm_KRBY
01-A,sm_qcts

01-B,sm_csqt
01-B,cm_RBKY
01-B,sm_qcts
01-B,cm_KRBY

02-A,quadNearby
02-A,ordL1
02-A,ordL1_Nearby
02-A,col1OrdBuck_BRKY3120

02-B,ordL1
02-B,quadNearby
02-B,ordL1_Nearby
02-B,col1OrdBuck_BRKY3120

03-A,quadNearby
03-A,ordL1_Nearby
03-A,quadMixed1
03-A,quadNearby

03-B,quadMixed1
03-B,quadNearby
03-B,quadMixed1
03-B,quadNearby

04-A,allOfColOrd_BRKY
04-A,allOfShaOrd_qcts
04-A,allOfColOrd_KRBY
04-A,allOfShaOrd_csqt

04-B,allOfShaOrd_qcts
04-B,allOfColOrd_BRKY
04-B,allOfShaOrd_csqt
04-B,allOfColOrd_KRBY

05-A,col1Ord_BRKY
05-A,sha1Ord_qcts
05-A,col1Ord_KRBY
05-A,sha1Ord_csqt

05-B,sha1Ord_qcts
05-B,col1Ord_BRKY
05-B,sha1Ord_csqt
05-B,col1Ord_KRBY

06-A,col1OrdBuck_BRKY0213
06-A,sha1OrdBuck_qcts0213
06-A,col1OrdBuck_BRKY3120
06-A,sha1OrdBuck_tqsc0213

06-B,sha1OrdBuck_qcts0213
06-B,col1OrdBuck_BRKY0213
06-B,sha1OrdBuck_tqsc0213
06-B,col1OrdBuck_BRKY3120

07-A,ordL1
07-A,quadNearby
07-A,ordL1_Nearby
07-A,col1OrdBuck_BRKY0213

07-B,ordRevOfL1
07-B,ordRevOfL1_Nearby
07-B,col1OrdBuck_BRKY0213
07-B,sha1OrdBuck_qcts0213

08-A,ordL1_Nearby
08-A,ordRevOfL1_Remotest
08-A,col1OrdBuck_BRKY0213
08-A,sha1OrdBuck_qcts0213

08-B,ordRevOfL1_Remotest
08-B,ordL1_Nearby
08-B,sha1OrdBuck_qcts0213
08-B,col1OrdBuck_BRKY0213

09-A,colOrdL1_BRKY
09-A,shaOrdL1_qcts
09-A,colOrdL1_KBYR
09-A,shaOrdL1_csqt

09-B,shaOrdL1_qcts
09-B,colOrdL1_BRKY
09-B,shaOrdL1_csqt
09-B,colOrdL1_KBYR

10-A,cw
10-A,buckets_2130
10-A,colOrdL1_BRKY
10-A,shaOrdL1_qcts

10-B,ccw
10-B,buckets_2130
10-B,shaOrdL1_qcts
10-B,colOrdL1_BRKY
